id,Barra,Nombre,Voltaje [kV],Lat,Lon,System zone,Lat2,Lon2,ACV,ACF
e3206,1,LosChangos500,500,-23.156321,-70.318544,0.0,-22.90900923301047,-70.3125,0.0,0.0
e5235,2,NuevaPozoAlmonte220,220,-20.25849028,-69.7733455,1.0,-20.10382536259817,-69.375,0.0,0.0
e3342,3,Lagunas220,220,-20.815511,-69.693856,2.0,-21.038886699149508,-69.375,0.0,0.0
e3665,4,NuevaPuertoMontt500,500,-41.451698,-72.95303,3.0,-41.61021795745573,-73.125,3.0,2.0
e3152,5,Parinas500,500,-18.478694,-70.271124,4.0,-18.23370256390116,-70.3125,0.0,0.0
e3460,6,LosChangos220,220,-23.156321,-70.318544,0.0,-22.90900923301047,-70.3125,0.0,0.0
e3058,7,NuevaMaitencillo500,500,-28.54294,-70.928938,5.0,-28.51937549819428,-71.25,1.0,0.0
e3678,8,NuevaAncud500,500,-41.8773,-73.7948,6.0,-41.61021795745573,-74.0625,3.0,2.0
e3581,9,Pichirropulli500,500,-40.16042,-72.887891,7.0,-39.74009905729821,-73.125,3.0,2.0
e2988,10,NuevaPandeAzucar500,500,-30.12062688,-71.21578488,8.0,-30.389497046904783,-71.25,1.0,0.0
e5237,11,Parinacota220,220,-18.4786,-70.2703,4.0,-18.23370256390116,-70.3125,0.0,0.0
e5432,12,Mulchen500,500,-37.68117983,-72.25394466,9.0,-37.869979577336935,-72.1875,3.0,2.0
e3309,13,Kimal220,220,-22.301124,-69.482383,10.0,-21.973947990235644,-69.375,0.0,0.0
e5243,14,Rapel500,500,-34.038625,-71.58484,11.0,-34.12973913069453,-71.25,2.0,1.0
e3108,15,Cumbre500,500,-26.256777,-69.989465,12.0,-26.649253659362014,-70.3125,1.0,0.0
e3222,16,Kimal500,500,-22.301124,-69.482383,10.0,-21.973947990235644,-69.375,0.0,0.0
e2805,17,AltoJahuel500,500,-33.714759,-70.69426,13.0,-34.12973913069453,-70.3125,2.0,1.0
e2924,18,Polpaico500,500,-33.197986,-70.860888,14.0,-33.19467874881559,-71.25,2.0,1.0
e2755,19,Ancoa500,500,-35.68185977,-71.3772165,15.0,-35.999859582845964,-71.25,2.0,1.0
e5239,20,Quillota500,500,-32.953082,-71.25022,14.0,-33.19467874881559,-71.25,2.0,1.0
e5245,21,Concepcion500,500,-36.803727,-73.032481,16.0,-36.93491964067397,-73.125,3.0,2.0
e5241,22,Candelaria500,500,-34.033887,-70.611665,13.0,-34.12973913069453,-70.3125,2.0,1.0
e2594,23,NuevaCharrua500,500,-37.090437,-72.320171,17.0,-36.93491964067397,-72.1875,3.0,2.0
e7092,24,Polpaico500H2,220,-33.197986,-70.860888,14.0,-33.19467874881559,-71.25,2.0,1.0
e7093,25,NuevaCharrua500H2,220,-37.090437,-72.320171,17.0,-36.93491964067397,-72.1875,3.0,2.0
e7091,26,Kimal500H2,220,-22.301124,-69.482383,10.0,-21.973947990235644,-69.375,0.0,0.0
e3080,27,NuevaCardones500,500,-27.518674,-70.42598,18.0,-27.5843146130172,-70.3125,1.0,0.0
e3423,28,NuevaZaldivar220,220,-24.163421,-69.065421,19.0,-23.844070424499638,-69.375,0.0,0.0
e3540,29,RioMalleco500,500,-38.042068,-72.285143,9.0,-37.869979577336935,-72.1875,3.0,2.0
